Utført dato;Bokført dato;Rentedato;Beskrivelse;Type;Undertype;Fra konto;Avsender;Til konto;Mottakernavn;Beløp inn;Beløp ut;Valuta;Status;Numref;Arkivref;Melding/KID/Fakt.nr
22.04.2024;;21.04.2024;Straksoverføring;Betaling;Transaksjon;9492 05 51097;Brukskonto ung;;;;-500.000;NOK;Bekreftet;;;Straksoverføring
22.04.2024;;21.04.2024;Straksbetaling;Betaling;Transaksjon;;;9492 05 51097;;530.000;;NOK;Bekreftet;;;Straksbetaling
22.04.2024;;21.04.2024;Straksoverføring;Betaling;Transaksjon;9492 05 51097;Brukskonto ung;;;;-30.000;NOK;Bekreftet;;;Straksoverføring
22.04.2024;;21.04.2024;21.04 BUNNPRIS MOHOLT HERMAN KRAGS TRONDHEIM;Betaling;Transaksjon;9492 05 51097;Brukskonto ung;;;;-45.000;NOK;Bekreftet;;;21.04 BUNNPRIS MOHOLT HERMAN KRAGS TRONDHEIM
22.04.2024;;21.04.2024;21.04 UNO-X MOHOLT 06  TRONDHEIM;Betaling;Transaksjon;9492 05 51097;Brukskonto ung;;;;-739.920;NOK;Bekreftet;;;21.04 UNO-X MOHOLT 06  TRONDHEIM
22.04.2024;;20.04.2024;20.04 REMA MOHOLT BRØSETVN. 17 TRONDHEIM;Betaling;Transaksjon;9492 05 51097;Brukskonto ung;;;;-541.980;NOK;Bekreftet;;;20.04 REMA MOHOLT BRØSETVN. 17 TRONDHEIM
22.04.2024;;22.04.2024;eFaktura NettBank m/KID;Betaling;Transaksjon;9492 05 51097;Brukskonto ung;;;;-256.810;NOK;Bekreftet;;;eFaktura NettBank m/KID
20.04.2024;;20.04.2024;Avtalegiro;Betaling;Transaksjon;9492 05 51097;Brukskonto ung;;;;-230.000;NOK;Bekreftet;;;Avtalegiro
19.04.2024;19.04.2024;19.04.2024;18.04 BUNNPRIS MOHOLT HERMAN KRAGS TRONDHEIM;Varekjøp;Varekjøp debetkort;9492 05 51097;Ola Nordmann;;;;-28;NOK;Bokført;;;18.04 BUNNPRIS MOHOLT HERMAN KRAGS TRONDHEIM
17.04.2024;17.04.2024;17.04.2024;Tallink;Varekjøp;Varekjøp debetkort;9492 05 51097;Ola Nordmann;;;;-2809.83;NOK;Bokført;;;*4945 16.04 SEK 2721.00 Tallink Kurs: 1.0327
17.04.2024;17.04.2024;17.04.2024;Ola Nordmann;immediate;Straksbetaling;1210 54 16499;;9492 05 51097;Ola Nordmann;30;;NOK;Bokført;;;VIPPS MOBILEPAY AS Ola Nordmann
17.04.2024;17.04.2024;16.04.2024;Ola Nordmann;immediate;Straksbetaling;9100 39 99985;;9492 05 51097;Ola Nordmann;545;;NOK;Bokført;;;??
17.04.2024;17.04.2024;17.04.2024;16.04 BUNNPRIS MOHOLT HERMAN KRAGS TRONDHEIM;Varekjøp;Varekjøp debetkort;9492 05 51097;Ola Nordmann;;;;-66.95;NOK;Bokført;;;16.04 BUNNPRIS MOHOLT HERMAN KRAGS TRONDHEIM
17.04.2024;17.04.2024;17.04.2024;Ola Nordmann;immediate;Straksbetaling;1208 77 29077;;9492 05 51097;Ola Nordmann;30;;NOK;Bokført;;;VIPPS MOBILEPAY AS Ola Nordmann
17.04.2024;17.04.2024;17.04.2024;Ola Nordmann;immediate;Straksbetaling;3624 26 88761;;9492 05 51097;Ola Nordmann;30;;NOK;Bokført;;;Fra: Ola Nordmann Betalt: 17.04.24
16.04.2024;16.04.2024;16.04.2024;15.04 REMA MOHOLT BRØSETVN. 17 TRONDHEIM;Varekjøp;Varekjøp debetkort;9492 05 51097;Ola Nordmann;;;;-583.45;NOK;Bokført;;;15.04 REMA MOHOLT BRØSETVN. 17 TRONDHEIM
